Feature,Importance
EN.GHG.CH4.WA.MT.CE.AR5,0.00033104388
IC.IMP.TMDC,0.00032967795
EN.URB.LCTY,0.00032716276
per_allsp.cov_pop_tot,0.0003248046
SL.AGR.EMPL.MA.ZS,0.0003242602
SE.PRM.ENRR,0.00031950296
per_lm_alllm.ben_q1_tot,0.00031935406
SI.POV.NAHC,0.00031863945
DC.DAC.NZLL.CD,0.00031611862
NV.MNF.TXTL.ZS.UN,0.0003160323
BN.GSR.GNFS.CD,0.0003125459
RL.PER.RNK.LOWER,0.0003097549
SP.POP.3034.MA.5Y,0.00030706255
IP.PAT.RESD,0.00030602765
TX.VAL.MRCH.XD.WD,0.00030595405
GC.XPN.INTP.CN,0.00030531472
SE.SEC.ENRL.LO.TC.ZS,0.00030471475
SP.DYN.CONM.ZS,0.00030464554
DT.NFL.FAOG.CD,0.0003032884
SH.H2O.BASW.ZS,0.00030136792
SL.SLF.0714.FE.ZS,0.0003002801
IQ.CPA.FISP.XQ,0.00029779898
IS.AIR.DPRT,0.00029486333
AG.LND.AGRI.ZS,0.0002924695
NE.GDI.FPRV.ZS,0.00029025043
DC.DAC.GRCL.CD,0.00028684776
SL.TLF.ADVN.ZS,0.00028664357
SH.MED.BEDS.ZS,0.00028437228
SH.ALC.PCAP.FE.LI,0.00028309028
NY.ADJ.NNAT.GN.ZS,0.00028001424
SE.PRM.PRIV.ZS,0.0002783686
NE.RSB.GNFS.CD,0.00027702257
IQ.CPA.STRC.XQ,0.00027659428
IC.BUS.NDNS.ZS,0.00027478338
AG.LND.ARBL.HA.PC,0.00027273517
DT.NFL.SDGF.CD,0.0002722529
SP.POP.SCIE.RD.P6,0.00027198592
FM.LBL.BMNY.IR.ZS,0.0002706108
DT.NFL.RDBN.CD,0.0002703942
TX.VAL.MRCH.R4.ZS,0.00027020683
EG.ELC.NUCL.ZS,0.00026973189
SE.PRM.PRSL.FE.ZS,0.00026746208
SP.POP.65UP.TO.ZS,0.00026571998
ER.PTD.TOTL.ZS,0.00026195482
SP.POP.1564.FE.IN,0.00026073205
SL.TLF.ACTI.MA.ZS,0.00026037116
SI.POV.LMIC,0.0002597708
TM.TAX.TCOM.BR.ZS,0.0002578954
BN.GSR.FCTY.CD,0.0002576069
SE.PRM.UNER.MA.ZS,0.00025483224
NE.GDI.FPRV.CN,0.00025337772
CM.MKT.TRNR,0.000252692
SP.POP.TOTL.MA.ZS,0.0002518694
SE.PRM.CMPT.FE.ZS,0.0002515222
NE.CON.GOVT.ZS,0.00025042458
SE.PRM.CMPT.ZS,0.00024887873
SH.DYN.2024,0.0002486511
per_si_allsi.cov_q1_tot,0.00024850547
NY.GDP.FRST.RT.ZS,0.0002467734
EN.GHG.N2O.FE.MT.CE.AR5,0.0002461597
GC.NFN.TOTL.GD.ZS,0.0002453068
IT.NET.USER.MA.ZS,0.00024485638
SH.UHC.SRVS.CV.XD,0.00024327444
FM.AST.DOMS.CN,0.00024285515
TM.QTY.MRCH.XD.WD,0.0002424392
